,name,price,Гарантия ,Диагональ дисплея ,Разрешение дисплея ,Частота обновления ,Тип матрицы экрана ,Процессор ,Количество ядер процессора ,Серия процессора. ,Частота процессора ,Частота процессора (режим Turbo) ,Кэш-память ,Тип видеокарты ,Видеокарта ,Тип оперативной памяти ,Оперативная память ,Тип носителя данных ,Объем твердотельного накопителя SSD ,Типоразмер ,Интерфейс SSD ,Wi-Fi ,BlueTooth ,USB 3.0 ,Thunderbolt ,HDMI ,Аудио ,Разъемы ,Установленная ОС ,Сертификаты (звук) ,Встроенные динамики ,Замок Kensington ,Веб-камера ,Блок питания ,Цвет ,Линейка ,Вес ,Бренд,Покрытие экрана ,Чипсет ,Частота ,LAN ,USB 3.2 ,USB-Type-C / Thunderbolt (совмещенные) ,Звуковая система ,Встроенный микрофон ,Подсветка клавиатуры ,Прочее ,Привод ,USB-Type-C ,Макс. поддерживаемая память ,Сканер отпечатка пальца ,Аккумулятор ,Кол-во слотов памяти ,Язык раскладки клавиатуры ,Серия ,USB 2.0 ,Видеовыход ,Емкость аккумулятора ,Считыватель карт памяти ,Скорость вращения ,USB 3.1 ,Сенсорный экран ,Объем видеопамяти ,Время автономной работы ,Покрытие крышки дисплея ,Игровой ,Объем жесткого диска ,Стилус ,Размеры ,Емкость встроенной памяти eMMC ,Мобильная сеть ,Категория ,Express Card ,Компоновка памяти ,Внешний монитор ,Тип Wi-Fi ,ПО ,Материал и цвет palmrest ,Модель 
198,Ноутбук Lenovo Legion 5 15ITH6 82JK000QRK,107490 руб.,,15.6 дюйм ,1920x1080 FHD ,165 Гц ,TFT IPS ,Intel Core i5 ,6 ,11400H ,2.7 ГГц ,4.5 ГГц ,12 Mb ,Дискретная ,NVIDIA GeForce RTX 3050 Ti ,DDR4 ,16 Gb ,SSD ,512 ГБ ,,,Есть ,Есть ,,,Есть ,"комбинированный выход (наушники) / вход (микрофон) (3,5 мм) ",,DOS / без ОС ,,,,Есть ,,,,2400 г ,Lenovo ,,,,Gigabit Ethernet 10/100/1000 ,4 ,,Есть ,,Есть ,,,,,,,,,,,,,,,,,4 Gb ,,,,,,,,,,,,,,,,
199,Ноутбук Lenovo Legion S7 15ACH6 82K80058RK,122138 руб.,1 год ,15.6 дюйм ,1920x1080 FHD ,165 Гц ,TFT IPS ,AMD Ryzen 7 ,8 ,5800H ,3.2 ГГц ,4.4 ГГц ,16 Mb ,Дискретная ,NVIDIA GeForce RTX 3050 Ti ,DDR4 ,32 Gb ,SSD ,512 ГБ ,M.2 ,PCI-E ,Есть ,Есть ,,,,"комбинированный выход (наушники) / вход (микрофон) (3,5 мм) ",,no OS (без операционной системы) ,,,,Есть ,230 Вт ,Черный ,,1900 г ,Lenovo ,Антибликовое ,AMD SoC Platform ,3200 MHz ,,2 ,,,,Есть ,,Нет ,2 ,32 Gb ,Есть ,,1 ,,,,,,SD MMC SDHC SDXC ,,,,4 Gb ,,,Да ,,,,,,,,,,,,,
200,Ноутбук ASUS X515EA-BQ959 90NB0TY2-M00M70,54220 руб.,1 год ,15.6 дюйм ,1920x1080 FHD ,,TFT IPS ,Intel Core i5 ,4 ,1135G7 ,2.4 ГГц ,4.2 ГГц ,8 Mb ,Встроенная ,Intel Iris Xe Graphics ,DDR4 ,8 Gb ,SSD ,256 ГБ ,,,Есть ,Есть ,,,Есть ,"комбинированный выход (наушники) / вход (микрофон) (3,5 мм) ",,no OS (без операционной системы) ,,,,Есть ,,Серебристый ,,,ASUS ,,,,,,,стереодинамики ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,Ноутбук HIPER EXPERTBOOK H1600O382DM,55000 руб.,1 год ,16.1 дюйм ,1920x1080 FHD ,60 Гц ,TFT IPS ,Intel Core i3 ,6 ,1215U ,1.2 ГГц ,4.4 ГГц ,10 Mb ,Встроенная ,Intel UHD Graphics ,DDR4 SODIMM ,8 Gb ,SSD ,256 ГБ ,M.2 ,SATA ,Есть ,4.2 ,3 ,,Есть ,"комбинированный выход (наушники) / вход (микрофон) (3,5 мм) ",,DOS / без ОС ,,,Есть ,Есть ,,Черный ,,1860 г ,HIPER ,Матовое ,,2666 MHz ,Gigabit Ethernet 10/100/1000 ,,,Встроенные динамики 2х2 Вт ,Встроенный аналоговый микрофон ,Есть ,"Ширина, cм: 37.06
Высота, cм: 1.8
Глубина, cм: 24.79
Угол раскрытия крышки ноутбука, °: 135
Угол обзора, °: 178/178 ",,1 ,32 Gb ,,Li-Ion ,1 ,,,,DisplayPort ,,SD card (XC) ,,,,,,Металл ,,,,,,,,,,,,,,
202,Ноутбук ASUS VivoBook K712EA-BX244 90NB0TW3-M02690,49000 руб.,,17.3 дюйм ,1600x900 HD+ ,60 Гц ,TFT TN ,Intel Core i3 ,2 ,1115G4 ,3 ГГц ,4.1 ГГц ,6 Mb ,Встроенная ,Intel UHD Graphics ,DDR4 ,8 Gb ,SSD ,512 ГБ ,M.2 ,PCI-E ,Есть ,Есть ,1 ,,Есть ,"комбинированный выход (наушники) / вход (микрофон) (3,5 мм) ",,no OS (без операционной системы) ,,,,Есть ,,Серебристый ,,2300 г ,ASUS ,Матовое ,,,,,,стереодинамики ,,,ШхГхВ   406 х 256 х 19.9 ,Нет ,1 ,16 Gb ,,2-Cell Li-Ion ,1 ,,,2 ,,,"есть, поддержкаmicroSD ",,,,,,,,,,,,,,,,,,,,
203,Ноутбук HP ZBook Fury 15 G8 31Z44AV,313778 руб.,2 года ,15.6 дюйм ,1920x1080 FHD ,60 Гц ,TFT IPS ,Intel Core i7 ,8 ,11850H ,2.5 ГГц ,4.8 ГГц ,24 Mb ,Дискретная ,NVIDIA GeForce RTX A2000 ,DDR4 ,32 Gb ,HDD+SSD (отдельный) ,512 ГБ ,,,Нет ,Есть ,,,Есть ,"комбинированный выход (наушники) / вход (микрофон) (3,5 мм) ",,Windows 11 Pro ,,,,Есть ,,Серый ,,2350 г ,HP ,Матовое ,,3200 MHz ,Gigabit Ethernet 10/100/1000 ,,2 ,стереодинамики ,Встроенный цифровой микрофон ,,Ш х Г х В   36.1  х 24.3 х 26 ,Нет ,,,Есть ,,1 ,,,,Mini DisplayPort ,,Есть ,,2 ,,4 Gb ,,,,2000 ГБ ,,,,,,,,,,,,
204,Ноутбук MSI CreatorPro M16 A12UKS-1072RU 9S7-158372-1072,188000 руб.,,16 дюйм ,2560х1600 ,60 Гц ,TFT IPS ,Intel Core i7 ,14 ,12700H ,2.3 ГГц ,,24 Mb ,Дискретная ,NVIDIA RTX A3000 ,DDR4 ,32 Gb ,SSD ,1000 ГБ ,,,Есть ,Есть ,,,Есть ,"комбинированный выход (наушники) / вход (микрофон) (3,5 мм) ","1xType-C USB3.2 Gen1, 2xType-A USB3.2 Gen1, 1xType-A USB2.0 ",Windows 11 Pro ,,,,Есть ,,Черный ,,2290 г ,MSI ,,,,,,,стереодинамики ,,Есть ,,,,64 Gb ,,,2 ,,,,,,,,,,12 Gb ,,,,,,,,,,,,,,,,
205,Ноутбук Lenovo Thinkpad X1 Carbon Gen10 21CCSBEY01,245890 руб.,,14 дюйм ,1920х1200 ,,,Intel Core i5 ,,1235U ,,,,Встроенная ,Intel Iris Xe Graphics ,DDR4 ,16 Gb ,SSD ,1000 ГБ ,,,Есть ,Есть ,,,Есть ,"комбинированный выход (наушники) / вход (микрофон) (3,5 мм) ",,Windows 11 Pro ,,,,,,Черный ,,1120 г ,Lenovo ,,,,,2 ,2 ,,,Есть ,"(В × Ш × Г)   15,36 x 315,6 x 222,5 ",Нет ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,Ноутбук MSI Creator B13VFTO-055RU 9S7-15G231-055,250000 руб.,1 год ,16 дюйм ,2560х1600 ,120 Гц ,TFT IPS ,Intel Core i7 ,16 ,13700HX ,2.1 ГГц ,,30 Mb ,Дискретная ,Nvidia Geforce RTX 4060 ,DDR5 ,16 Gb ,SSD ,1000 ГБ ,M.2 ,PCI-E ,Есть ,Есть ,,,Есть ,"комбинированный выход (наушники) / вход (микрофон) (3,5 мм) ",,Windows 11 Pro ,,,,Есть ,,Серый ,,2350 г ,MSI ,,,,,1 ,1 ,,Встроенный аналоговый микрофон ,Есть ,Ш х Г х В   359 x 256 x 18.4 ,Нет ,,64 Gb ,Есть ,4-Cell ,2 ,,,,,,,,,Touch-screen ,8 Gb ,,,,,,,,,,,,,,,,
207,Ноутбук Acer Acer Swift 3 NX.K0UER.007,68400 руб.,,14 дюйм ,1920x1080 FHD ,60 Гц ,TFT IPS ,AMD Ryzen 7 ,6 ,5625U ,2.3 ГГц ,,,Встроенная ,AMD Radeon Graphics ,,16 Gb ,SSD ,512 ГБ ,,,Есть ,Есть ,,,Есть ,,,DOS / без ОС ,,,,Есть ,,Черный ,,,Acer ,Матовое ,,,,,,,,,,Нет ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,Ноутбук F+ FLTP-5i5-16512-W,43600 руб.,,15.6 дюйм ,1920x1080 FHD ,,TFT IPS ,Intel Core i5 ,,1235U ,,,,,Intel Iris Xe Graphics ,RAM ,16 Gb ,SSD ,512 ГБ ,,SATA ,Есть ,Есть ,3 ,,Есть ,"комбинированный выход (наушники) / вход (микрофон) (3,5 мм) ",,Windows 11 Home ,,,,Есть ,,,,"1,78 кг ",F+ ,,,,LAN 10/100 ,,,,2 встроенных цифровых микрофона ,,,,1 ,32 Gb ,,,,,,,,5000 mAh ,,,,,,,,,,,,,,,,,,,,,
209,Ноутбук Acer Nitro 5 AN515-45-R24V NH.QBCER.00F,99400 руб.,1 год ,15.6 дюйм ,1920x1080 FHD ,,TFT IPS ,AMD Ryzen 5 ,6 ,5600H ,3.3 ГГц ,4.2 ГГц ,16 Mb ,Дискретная ,NVIDIA GeForce RTX 3060 ,DDR4 ,8 Gb ,SSD ,256 ГБ ,,,Есть ,Есть ,,,Есть ,"комбинированный выход (наушники) / вход (микрофон) (3,5 мм) ",,no OS (без операционной системы) ,,,,,,Черный ,,,Acer ,Матовое ,,,,,,стереодинамики ,,,,Нет ,,,,,,,,,,,,,,,6 Gb ,,,,,,,,,,,,,,,,
210,Ноутбук Lenovo ThinkPad X1 Carbon Gen 10 21CB000CUS,226898 руб.,,14 дюйм ,1920х1200 ,,TFT IPS ,Intel Core i7 ,16 ,1260P ,2.1 ГГц ,4.7 ГГц ,18 Mb ,Встроенная ,Intel Iris Xe Graphics ,LPDDR5 ,16 Gb ,SSD ,512 ГБ ,M.2 ,PCI-E ,Есть ,Есть ,,2 ,Есть ,"комбинированный выход (наушники) / вход (микрофон) (3,5 мм) ",,Windows 11 Home ,,2 x 2 Вт ,Есть ,Есть ,,Черный ,,1120 г ,Lenovo ,Антибликовое ,Intel SoC Platform ,5200 MHz ,,,,,,Есть ,,Нет ,,16 Gb ,Есть ,,,,,,,,,,2 ,,,,,,,,,,,,,,,,,,
211,Ноутбук F+ FLTP-5i5-8256-W,41000 руб.,,15.6 дюйм ,1920x1080 FHD ,,TFT IPS ,Intel Core i5 ,,1235U ,,,,,Intel Iris Xe Graphics ,RAM ,8 Gb ,SSD ,256 ГБ ,M.2 ,SATA ,,,3 ,,Есть ,"комбинированный выход (наушники) / вход (микрофон) (3,5 мм) ",,Windows 11 Home ,,,,,,,,,F+ ,,,3200 MHz ,LAN 10/100 ,,,,2 встроенных цифровых микрофона ,,,,1 ,,,,,,,,,5000 mAh ,,,,,,,,,,,,,,,,,,,,,
212,Ноутбук HIPER DZEN MTL1569 46XJDOSU,54400 руб.,1 год ,15.6 дюйм ,1920x1080 FHD ,60 Гц ,TFT IPS ,Intel Core i5 ,4 ,1135G7 ,2.4 ГГц ,4.2 ГГц ,8 Mb ,Встроенная ,Intel Iris Xe Graphics ,DDR4 ,8 Gb ,SSD ,256 ГБ ,,,Есть ,Есть ,2 ,,Есть ,"комбинированный выход (наушники) / вход (микрофон) (3,5 мм) ",,DOS / без ОС ,,2 x 1.0 Вт ,,Есть ,,Серебристый ,,1700 г ,HIPER ,Матовое ,,2666 MHz ,,,,стереодинамики ,,Есть ,,,1 ,64 Gb ,,Li-Ion ,2 ,,,1 ,,,,,,,,,,,,,,,,,,,,,,,
213,Ноутбук Acer Aspire 5 A515-45G-R0FW NX.A8CEM.006,44100 руб.,1 год ,15.6 дюйм ,1920x1080 FHD ,60 Гц ,TFT IPS ,AMD Ryzen 5 ,6 ,5500U ,2.1 ГГц ,4 ГГц ,,Дискретная ,AMD Radeon RX 640 ,DDR4 ,8 Gb ,SSD ,1000 ГБ ,,,Есть ,Есть ,,,Есть ,,,no OS (без операционной системы) ,,,,Есть ,,Серебристый ,,1760 г ,Acer ,Матовое ,,,,,,стереодинамики ,,,,,1 ,,,3-Cell Li-Ion ,,,,1 ,,,,,2 ,,2 Gb ,,,,,,,,,,,,,,,,
214,Ноутбук HP 255 G8 3V5K4EA,59960 руб.,1 год ,15.6 дюйм ,1920x1080 FHD ,,TFT TN ,AMD Ryzen 3 ,4 ,5300U ,2.6 ГГц ,3.8 ГГц ,4 Mb ,Встроенная ,AMD Radeon Graphics ,DDR4 ,8 Gb ,SSD ,256 ГБ ,,,Есть ,Есть ,,,Есть ,"комбинированный выход (наушники) / вход (микрофон) (3,5 мм) ",,DOS / без ОС ,,,,Есть ,,Серый ,,1740 г ,HP ,Антибликовое ,,3200 MHz ,Gigabit Ethernet 10/100/1000 ,,,,,,,,1 ,,,3-Cell Li-Ion ,1 ,,,,,,,,2 ,,,,,,,,,,,,,,,,,,
215,Ноутбук HIPER EXPERTBOOK H1600O3165HM,60400 руб.,1 год ,16.1 дюйм ,1920x1080 FHD ,60 Гц ,TFT IPS ,Intel Core i3 ,6 ,1215U ,1.2 ГГц ,4.4 ГГц ,10 Mb ,Встроенная ,Intel UHD Graphics ,DDR4 SODIMM ,16 Gb ,SSD ,512 ГБ ,M.2 ,SATA ,Есть ,Есть ,3 ,,Есть ,"комбинированный выход (наушники) / вход (микрофон) (3,5 мм) ","Ширина, cм: 37.06
Высота, cм: 1.8
Глубина, cм: 24.79 ",Windows 10 ,,,Есть ,Есть ,,Черный ,,1860 г ,HIPER ,Матовое ,,2666 MHz ,Gigabit Ethernet 10/100/1000 ,,,Встроенные динамики 2х2 Вт ,,Есть ,"Ширина, см: 37,06
Высота, см: 1,8
Глубина, см: 24,79
Угол раскрытия крышки ноутбука, °: 135 ",,1 ,32 Gb ,,Li-Ion ,1 ,,,,DisplayPort ,,SD card (XC) ,,,,,,,,,,,,,,,,,,,,
216,Ноутбук HP ProBook 440 G8 4B2P6EA,104200 руб.,1 год ,14 дюйм ,1920x1080 FHD ,60 Гц ,OLED ,Intel Core i5 ,4 ,1135G7 ,2.4 ГГц ,4.2 ГГц ,,Встроенная ,Intel Iris Xe Graphics ,DDR4 ,8 Gb ,SSD ,256 ГБ ,,,Есть ,Есть ,1 ,,Есть ,"комбинированный выход (наушники) / вход (микрофон) (3,5 мм) ",,Windows 10 Pro 64-bit ,,,,,,Silver (Серебристый) ,,1400 г ,HP ,,,3200 MHz ,Gigabit Ethernet 10/100/1000 ,,,,Встроенный аналоговый микрофон ,,,Нет ,,32 Gb ,,,,,,,,,,,3 ,,,,,,,,,,,,,,,,,,
217,"Ноутбук Lenovo ThinkBook 14-ACL, 14.0"" 21A20046RU",76890 руб.,24 месяца ,14 дюйм ,1920x1080 FHD ,,TFT IPS ,AMD Ryzen 7 ,8 ,5700U ,1.8 ГГц ,4.3 ГГц ,8 Mb ,Встроенная ,AMD Radeon Graphics ,DDR4 ,16 Gb ,SSD ,512 ГБ ,M.2 ,,Есть ,Есть ,,,Есть ,"комбинированный выход (наушники) / вход (микрофон) (3,5 мм) ",,DOS / без ОС ,,,,,,Серый ,,1400 г ,Lenovo ,Матовое ,,,LAN 10/100 ,,,Встроенные динамики ,Встроенный аналоговый микрофон ,,,,2 ,,,Li-Ion ,2 ,,,,,4535 mAh ,,,2 ,,,,,,,,,,,,,,,,,,
218,Ноутбук ASUS B1500CEAE-BQ2260W 90NX0441-M26670,74000 руб.,1 год ,15.6 дюйм ,1920x1080 FHD ,,TFT IPS ,Intel Core i5 ,4 ,1135G7 ,2.4 ГГц ,,8 Mb ,Встроенная ,,DDR4 ,8 Gb ,SSD ,512 ГБ ,,,Есть ,Есть ,,,Есть ,"комбинированный выход (наушники) / вход (микрофон) (3,5 мм) ",1 x VGA/1 x HDMI /RG45 ,Windows 11 Home ,,,,Есть ,,Черный ,,1700 г ,ASUS ,,,,,,,,,,,,,,,,,,,,,,Есть ,,,,,,,,,,,,,,,,,,,,
219,Ноутбук Lenovo Legion 5 Pro 16ACH6H 82JQ00X8PB,171386 руб.,,16 дюйм ,2560х1600 ,165 Гц ,TFT IPS ,AMD Ryzen 7 ,8 ,5800H ,3.2 ГГц ,4.4 ГГц ,16 Mb ,Дискретная ,NVIDIA GeForce RTX 3060 ,DDR4 SODIMM ,16 Gb ,SSD ,2048 ГБ ,M.2 ,PCI-E ,Есть ,Есть ,,,Есть ,"комбинированный выход (наушники) / вход (микрофон) (3,5 мм) ",,Windows 11 Home ,,,,Есть ,,Белый ,,,Lenovo ,Антибликовое ,AMD SoC Platform ,3200 MHz ,Gigabit Ethernet 10/100/1000 ,3 ,,,,,,,,32 Gb ,,,2 ,,,,,,,,,,6 Gb ,,,,,,,,,,,,,,,,
220,Ноутбук Lenovo V15 G2 ALC 82KD0045RM,74590 руб.,,15.6 дюйм ,1920x1080 FHD ,,TFT TN ,AMD Ryzen 7 ,8 ,5700U ,1.8 ГГц ,4.3 ГГц ,8 Mb ,Встроенная ,AMD Radeon Graphics ,DDR4 ,16 Gb ,SSD ,512 ГБ ,M.2 ,PCI-E ,Есть ,Есть ,,,Есть ,"комбинированный выход (наушники) / вход (микрофон) (3,5 мм) ",,DOS / без ОС ,,,,,65 Вт ,Черный ,,,Lenovo ,Антибликовое ,AMD SoC Platform ,3200 MHz ,Gigabit Ethernet 10/100/1000 ,1 ,,,,,,,1 ,,,,,,,1 ,,,,,,,,,,,,,,,,,,,,,,,
221,Ноутбук Hasee Z7-TA5NA (04HAZ7TA5NA),57542 руб.,1 год ,15.6 дюйм ,1920x1080 FHD ,60 Гц ,,Intel Core i5 ,6 ,11260H ,2.6 ГГц ,4.4 ГГц ,12 Mb ,Дискретная ,NVIDIA GeForce RTX 3050 ,DDR4 ,8 Gb ,SSD ,512 ГБ ,,,Есть ,Есть ,,,,,,DOS / без ОС ,,,,,,Черный ,,2200 г ,Hasee ,Матовое ,,,,,,,,,,,,,,,,,,,,,,,,,4 Gb ,,,,,,,,,,,,,,,,
222,Ноутбук Lenovo Legion 7 16IAX7 82TD009VRK,464814 руб.,1 год ,16 дюйм ,2560х1600 ,165 Гц ,TFT IPS ,Intel Core i9 ,16 ,12900HX ,1.7 ГГц ,5 ГГц ,30 Mb ,Дискретная ,NVIDIA GeForce RTX 3080 Ti ,DDR5 ,32 Gb ,SSD ,2048 ГБ ,M.2 ,PCI-E ,Есть ,Есть ,,,Есть ,"комбинированный выход (наушники) / вход (микрофон) (3,5 мм) ",,DOS / без ОС ,,,,Есть ,,Storm Grey ,,2530 г ,Lenovo ,Антибликовое ,,4800 MHz ,Gigabit Ethernet 10/100/1000 ,3 ,,,,Есть ,,Нет ,1 ,32 Gb ,Есть ,,2 ,,,,,,,,,,16 Gb ,,,,,,,,,,,,,,,,
223,Ноутбук HP 845 G7 8VZ05AV_bundle1,46500 руб.,3 года ,14 дюйм ,1920x1080 FHD ,,TFT IPS ,AMD Ryzen 3 PRO ,4 ,4450U ,2.5 ГГц ,3.8 ГГц ,,Встроенная ,AMD Radeon HD Graphics ,DDR4 ,8 Gb ,SSD ,256 ГБ ,,,Есть ,Есть ,,,Есть ,,,Windows 10 Pro 64-bit ,,,,Есть ,,,,1330 г ,HP ,,,,,,,,,,,,2 ,,,,,,EliteBook ,,,,,,2 ,,,,,,,,,,,,,,,,,,
224,Ноутбук ASUS R465KA-EK060W Q122 90NB0VH2-M001B0,28080 руб.,1 год ,14 дюйм ,1920x1080 FHD ,,,Intel Celeron ,2 ,N4500 ,1.1 ГГц ,,4 Mb ,Встроенная ,Intel UHD Graphics 600 ,DDR4 ,4 Gb ,SSD ,128 ГБ ,,,Есть ,Есть ,,,Есть ,,"Разъем для наушников/микрофона 3.5мм
Количество встроенных микрофонов 1 ",Windows 11 Home ,Audio by Harman ,,,0.3 Мп ,,Серый ,,1500 г ,ASUS ,Матовое ,,2933 MHz ,,1 ,,Встроенные динамики ,,,,,1 ,,,,,,,2 ,,,,,,,,,,,,,,,,,,,,,,,
225,Ноутбук Dream Machines Clevo GM5AG7W RG3070Ti-15EU21,194934 руб.,1 год ,15.6 дюйм ,1920x1080 FHD ,240 Гц ,WVA ,Intel Core i7 ,14 ,12700H ,2.3 ГГц ,4.7 ГГц ,,Дискретная ,NVIDIA GeForce RTX 3070 Ti ,DDR5 ,32 Gb ,SSD ,1000 ГБ ,M.2 ,PCI-E ,Есть ,Есть ,,,Есть ,"комбинированный выход (наушники) / вход (микрофон) (3,5 мм) ",,no OS (без операционной системы) ,,,,Есть ,,Черный ,,2200 г ,Dream Machines ,,нет ,4800 MHz ,2.5 Gigabit Ethernet 10/100/1000/2500 ,,,SB Cinema 6 Plus ,,Есть ,"360,2 (Ш) x 243,5 (Г) x 26,6 (В) мм ",,1 ,32 Gb ,,6 Cells ,2 ,Русский ,,,,,,,3 ,,8 Gb ,,,,,,,,,,,,,,,,
226,Ноутбук Dell Latitude 5430 7DN-N211L5430MLK14EMEA_VP_UBU,76825 руб.,1 год ,14 дюйм ,1920x1080 FHD ,60 Гц ,TFT IPS ,Intel Core i5 ,10 ,1235U ,1.3 ГГц ,4.4 ГГц ,12 Mb ,Встроенная ,Intel Iris Xe Graphics ,DDR4 ,8 Gb ,SSD ,512 ГБ ,M.2 ,PCI-E ,Есть ,Есть ,,,,,Ш х Г х В  321 х 212 х 19 ,Ubuntu ,,,,Есть ,,Серый ,,1360 г ,Dell ,Матовое ,,3200 MHz ,Gigabit Ethernet 10/100/1000 ,,,,,,,Нет ,,,,,,Английский ,,,,,,,,,,,,,,,,,,,,,,,,,
227,Ноутбук HIPER SLIM H1306O3165HM,58400 руб.,1 год ,13.3 дюйм ,1920x1080 FHD ,60 Гц ,TFT IPS ,Intel Core i3 ,6 ,1215U ,1.2 ГГц ,4.4 ГГц ,10 Mb ,Встроенная ,Intel UHD Graphics ,DDR4 ,16 Gb ,SSD ,512 ГБ ,M.2 ,SATA ,Есть ,Есть ,1 ,,Есть ,"комбинированный выход (наушники) / вход (микрофон) (3,5 мм) ",,Windows 7 Pro 64-bit + Windows 10 Pro 64-bit ,,,Есть ,Есть ,,Серый ,,1260 г ,HIPER ,Матовое ,,2666 MHz ,,,,Встроенные динамики 2х2 Вт ,,Есть ,"Угол раскрытия крышки ноутбука, °: 360
Ширина, см: 30,74
Высота, см: 1,62
Глубина, см: 20,84 ",,1 ,,,Li-Ion ,,,,,DisplayPort ,,SD card (XC) ,,,,,,,,,,,,,,,,,,,,
228,Ноутбук ASUS VivoBook 15 M6500QH-HN089 90NB0YJ1-M00460,70300 руб.,1 год ,15.6 дюйм ,1920x1080 FHD ,144 Гц ,TFT IPS ,AMD Ryzen 7 ,8 ,5800H ,3.2 ГГц ,,,Дискретная ,NVIDIA GeForce GTX 1650 ,,16 Gb ,SSD ,512 ГБ ,,,Есть ,Есть ,,1 ,Есть ,"комбинированный выход (наушники) / вход (микрофон) (3,5 мм) ",,DOS / без ОС ,,,,Есть ,,Quiet Blue ,,1900 г ,ASUS ,,,,,1 ,,,,Есть ,,Нет ,,,,Li-Ion ,,,,2 ,,,"microSDHC, microSDXC ",,,,4 Gb ,,,,,,,,,,,,,,,,
229,Ноутбук Lenovo ThinkPad E14 Gen 2 20T6006QMH,60600 руб.,1 год ,14 дюйм ,1920x1080 FHD ,,TFT IPS ,AMD Ryzen 3 ,4 ,4300U ,2.7 ГГц ,3.7 ГГц ,6 Mb ,Встроенная ,AMD Radeon Graphics ,DDR4 ,8 Gb ,SSD ,256 ГБ ,M.2 ,PCI-E ,Есть ,Есть ,,,Есть ,"комбинированный выход (наушники) / вход (микрофон) (3,5 мм) ",,Windows 10 Pro 64-bit ,Dolby Audio ,2 x 2 Вт ,,Есть ,65 Вт ,Черный ,,1.640 г ,Lenovo ,Антибликовое ,AMD SoC Platform ,3200 MHz ,Gigabit Ethernet 10/100/1000 ,1 ,,стереодинамики ,Встроенный массив микрофонов ,Есть ,"RU гравировка
Ш х Г х В  324 x 220 x 17.9 ",Нет ,1 ,,Есть ,,1 ,Английский ,,1 ,,,,,,,,,,,,,,,,,,,,,,,
230,Ноутбук HP 255 G8 5B6J2EA,62663 руб.,1 год ,15.6 дюйм ,1920x1080 FHD ,60 Гц ,,AMD Ryzen 5 ,6 ,5500U ,2.1 ГГц ,4 ГГц ,,Встроенная ,AMD Radeon Graphics ,DDR4 ,8 Gb ,SSD ,256 ГБ ,,,Есть ,Есть ,2 ,,Есть ,"комбинированный выход (наушники) / вход (микрофон) (3,5 мм) ",,Windows 11 Home ,,,,Есть ,,Черный ,,2435 г ,HP ,Матовое ,,3200 MHz ,Gigabit Ethernet 10/100/1000 ,,,стереодинамики ,,,,,1 ,16 Gb ,,3-Cell Li-Ion ,,Русский ,,,,,SD/SDHC/SDXC ,,,,,,,,,,,,,,,,,,,,
231,Ноутбук Lenovo ThinkBook 14 G4 21DH00AKAU,94864 руб.,1 год ,14 дюйм ,1920x1080 FHD ,,TFT IPS ,Intel Core i5 ,10 ,1235U ,1.3 ГГц ,4.4 ГГц ,12 Mb ,Встроенная ,Intel Iris Xe Graphics ,DDR4 ,16 Gb ,SSD ,512 ГБ ,M.2 ,PCI-E ,Есть ,Есть ,,,Есть ,"комбинированный выход (наушники) / вход (микрофон) (3,5 мм) ",,Windows 11 Pro ,Dolby Audio ,2 x 2 Вт ,,Есть ,,Mineral Grey (Серебристый) ,,1400 г ,Lenovo ,Антибликовое ,Intel SoC Platform ,3200 MHz ,Gigabit Ethernet 10/100/1000 ,2 ,1 ,стереодинамики ,Встроенный массив микрофонов ,Есть ,Ш х Г х В  323 x 218 x 17.9 ,Нет ,1 ,,Есть ,,,Английский ,,,,,Есть ,,,,,,,,,,,,,,,,,,,,
232,Ноутбук Lenovo Thinkpad X1 Carbon Gen10 21CCSBEW01,312890 руб.,,14 дюйм ,1920х1200 ,,,Intel Core i7 ,,1265U vPro ,,,,Встроенная ,Intel Iris Xe Graphics ,LPDDR5 ,32 Gb ,SSD ,2048 ГБ ,,,Есть ,Есть ,,,Есть ,"комбинированный выход (наушники) / вход (микрофон) (3,5 мм) ",,Windows 11 Pro ,,,,,,Черный ,,1120 г ,Lenovo ,,,5200 MHz ,,2 ,2 ,,,Есть ,"(В × Ш × Г)  15,36 x 315,6 x 222,5 ",Нет ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,Ноутбук Lenovo Lenovo IdeaPad 5 Pro 16IAH7 82SK0034RK,135944 руб.,1 год ,16 дюйм ,2560х1600 ,120 Гц ,TFT IPS ,Intel Core i7 ,14 ,12700H ,2.3 ГГц ,,,Дискретная ,Intel Arc A370M ,LPDDR5 ,16 Gb ,SSD ,1024 ГБ ,M.2 ,PCI-E ,Есть ,Есть ,,,Есть ,"комбинированный выход (наушники) / вход (микрофон) (3,5 мм) ",,no OS (без операционной системы) ,,2 x 2 Вт ,,Есть ,135 Вт ,Platinum Grey (Серый) ,,1900 г ,Lenovo ,Антибликовое ,,,,2 ,,,Встроенный аналоговый микрофон ,,,Нет ,,,,,,,,,,,,,,,4 Gb ,,,,,,,,,,,,,,,,
