,name,price,Гарантия ,Диагональ дисплея ,Разрешение дисплея ,Частота обновления ,Тип матрицы экрана ,Процессор ,Количество ядер процессора ,Серия процессора. ,Частота процессора ,Частота процессора (режим Turbo) ,Кэш-память ,Тип видеокарты ,Видеокарта ,Тип оперативной памяти ,Оперативная память ,Тип носителя данных ,Объем твердотельного накопителя SSD ,Типоразмер ,Интерфейс SSD ,Wi-Fi ,BlueTooth ,USB 3.0 ,Thunderbolt ,HDMI ,Аудио ,Разъемы ,Установленная ОС ,Сертификаты (звук) ,Встроенные динамики ,Замок Kensington ,Веб-камера ,Блок питания ,Цвет ,Линейка ,Вес ,Бренд,Покрытие экрана ,Чипсет ,Частота ,LAN ,USB 3.2 ,USB-Type-C / Thunderbolt (совмещенные) ,Звуковая система ,Встроенный микрофон ,Подсветка клавиатуры ,Прочее ,Привод ,USB-Type-C ,Макс. поддерживаемая память ,Сканер отпечатка пальца ,Аккумулятор ,Кол-во слотов памяти ,Язык раскладки клавиатуры ,Серия ,USB 2.0 ,Видеовыход ,Емкость аккумулятора ,Считыватель карт памяти ,Скорость вращения ,USB 3.1 ,Сенсорный экран ,Объем видеопамяти ,Время автономной работы ,Покрытие крышки дисплея ,Игровой ,Объем жесткого диска ,Стилус ,Размеры ,Емкость встроенной памяти eMMC ,Мобильная сеть ,Категория ,Express Card ,Компоновка памяти ,Внешний монитор ,Тип Wi-Fi ,ПО ,Материал и цвет palmrest ,Модель 
70,Ноутбук HP 450 G8 2X7X3EA,113540 руб.,1 год ,15.6 дюйм ,1920x1080 FHD ,,,Intel Core i7 ,4 ,1165G7 ,2.8 ГГц ,,,Встроенная ,Intel Iris Xe Graphics ,DDR4 ,8 Gb ,SSD ,512 ГБ ,,,Есть ,Есть ,,,Есть ,"комбинированный выход (наушники) / вход (микрофон) (3,5 мм) ",,DOS / без ОС ,,,,Есть ,,Серебристый ,,,HP ,,,,,,,,,,,Нет ,1 ,,,,,,ProBook ,,,,,,3 ,,,,,,,,,,,,,,,,,,
71,Ноутбук Lenovo K14 Gen 1 21CSS1BH00,82309 руб.,1 год ,14 дюйм ,1920x1080 FHD ,,TFT IPS ,Intel Core i7 ,4 ,1165G7 ,,,,,,,8 Gb ,SSD ,256 ГБ ,,,,,,,,,,DOS / без ОС ,,,,,,Черный ,,,Lenovo ,,,,,,,,,,"Габариты упаковки (ед) ДхШхВ  48,5x7x29,5 см
Вес упаковки (ед)   2.25 кг ",,,,,,,Английский ,,,,,,,,,,,,,,,,,,,,,,,,,
72,Ноутбук Lenovo IdeaPad Gaming 3 15IMH05 81Y400P3RK,101774 руб.,1 год ,15.6 дюйм ,1920x1080 FHD ,,TFT IPS ,Intel Core i7 ,6 ,10750H ,2.6 ГГц ,5 ГГц ,12 Mb ,Дискретная и встроенная ,NVIDIA GeForce GTX 1650 Ti ,DDR4 ,16 Gb ,SSD ,512 ГБ ,M.2 ,PCI-E ,Есть ,Есть ,2 ,,Есть ,"комбинированный выход (наушники) / вход (микрофон) (3,5 мм) ",,DOS / без ОС ,,,,Есть ,135 Вт ,Черный ,,2200 г ,Lenovo ,Матовое ,Intel HM470 ,2933 MHz ,,,,,,,TPM2 ,Привода нет ,1 ,16 Gb ,,Li-Ion ,2 ,,,,,,,,,,4 Gb ,,,,,,,,,,,,,,,,
73,Ноутбук Lenovo V15 G2 82KB011HAK,46007 руб.,,15.6 дюйм ,1980x1080 ,,TFT TN ,Intel Core i5 ,4 ,1135G7 ,2.4 ГГц ,,,Дискретная ,NVIDIA GeForce MX350 ,DDR4 ,8 Gb ,SSD ,256 ГБ ,,,Есть ,Есть ,,,,,,DOS / без ОС ,,,,Есть ,,Черный ,,1700 г ,Lenovo ,Матовое ,,,Gigabit Ethernet 10/100/1000 ,1 ,,,,,"Размеры (ШхВхГ): 35,9x2x23,6 см ",,есть ,16 Gb ,,Li-Pol ,,,,1 ,,3800 mAh ,,,,,2 Gb ,8 ч ,,,,,,,,,,,,,,,
74,Ноутбук Dell Latitude 5430 L-5430-8-256-W,113315 руб.,1 год / 1 год ,14 дюйм / 14 дюйм ,1920x1080 FHD / 1920x1080 FHD ,60 Гц / 60 Гц ,TFT IPS / TFT IPS ,Intel Core i5 / Intel Core i5 ,10 / 10 ,1235U / 1235U ,1.3 ГГц / 1.3 ГГц ,4.4 ГГц / 4.4 ГГц ,12 Mb / 12 Mb ,Встроенная / Встроенная ,Intel Iris Xe Graphics / Intel Iris Xe Graphics ,DDR4 / DDR4 ,8 Gb / 8 Gb ,SSD / SSD ,256 ГБ / 256 ГБ ,M.2 / M.2 ,PCI-E / PCI-E ,Есть / Есть ,Есть / Есть ,,есть / есть ,Есть / Есть ,"комбинированный выход (наушники) / вход (микрофон) (3,5 мм) / комбинированный выход (наушники) / вход (микрофон) (3,5 мм) ",,Windows 11 Pro / Windows 11 Pro ,,,,Есть / Есть ,,Серый / Серый ,,1360 г / 1360 г ,Dell ,Матовое / Матовое ,,3200 MHz / 3200 MHz ,Gigabit Ethernet 10/100/1000 / Gigabit Ethernet 10/100/1000 ,,,Встроенные динамики / Встроенные динамики ,,,TPM / TPM ,Нет / Нет ,,64 Gb / 64 Gb ,,4-Cell / 4-Cell ,2 / 2 ,,,,,,,,,,,,,,,,,,,,,,,,,,
75,"Ноутбук Irbis 11.6"" NB122",18000 руб.,1 год ,11.6 дюйм ,1366x768 HD ,60 Гц ,TFT IPS ,Intel Celeron ,2 ,N3350 ,1.1 ГГц ,,2 Mb ,Встроенная ,Intel HD Graphics ,DDR4 ,4 Gb ,SSD ,64 ГБ ,,,Есть ,Есть ,1 ,,Есть ,,Разъем для наушников ,Windows 10 Pro 64-bit ,,,,Есть ,,Черный ,,990 г ,Irbis ,,,2400 MHz ,,,,,,,,,,,,,,,,1 ,,,,,,,,,,,,,,,,,,,,,,,
76,"Ноутбук Lenovo ThinkPad L13 13.3"" G3 21B3S07U00",90697 руб.,1 год ,13.3 дюйм ,1920х1200 ,60 Гц ,TFT IPS ,Intel Core i5 ,10 ,1235U ,1.3 ГГц ,4.4 ГГц ,12 Mb ,Встроенная ,Intel Iris Xe Graphics ,DDR4 ,16 Gb ,SSD ,512 ГБ ,M.2 ,PCI-E ,Есть ,Есть ,,,,,"Ш х Г х В  31,2 х 21,9 х18 ",Windows 10 Pro 64-bit ,,2 x 2 Вт ,Есть ,Есть ,,Черный ,,1380 г ,Lenovo ,Антибликовое ,,3200 MHz ,,,,стереодинамики ,,,,Нет ,,,Есть ,Li-Pol ,,Английский ,,,,,,,,,,,,,,,,,,,,,,,,,
77,Ноутбук ASUS M515DA-BQ1255T 90NB0T41-M20710,37900 руб.,,15.6 дюйм ,1920x1080 FHD ,,TFT IPS ,AMD Ryzen 3 ,2 ,3250U ,2.6 ГГц ,3.5 ГГц ,,Встроенная ,AMD Radeon Graphics ,DDR4 ,8 Gb ,SSD ,256 ГБ ,,,Есть ,Есть ,2 ,,Есть ,"комбинированный выход (наушники) / вход (микрофон) (3,5 мм) ","Порты USB 2.0 
2
Порты USB 3.0 
1
Порты USB 3.0 (Type-C)
1
Разъем HDMI 
1 ",Windows 10 Home 64-bit ,,,,Есть ,,Серый ,,1800 г ,ASUS ,,,3200 MHz ,,,,стереодинамики ,,,,,,,,,,,,2 ,,3700 mAh ,,,,,,,,,,,,,,,,,,,,,
78,Ноутбук ASUS X1403ZA-LY193 90NB0WQ1-M00B20,73770 руб.,1 год ,14 дюйм ,1920х1200 ,60 Гц ,TFT IPS ,Intel Core i5 ,12 ,12500H ,2.5 ГГц ,4.5 ГГц ,18 Mb ,Встроенная ,,DDR4 ,8 Gb ,SSD ,512 ГБ ,M.2 ,PCI-E ,Есть ,Есть ,,,,,,DOS / без ОС ,,,,Есть ,,Transparent Silver ,,1600 г ,ASUS ,Матовое ,,,,,,,,Есть ,,Нет ,,,Есть ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Ноутбук MSI CreatorPro M15 A11UIS-1083RU 9S7-16R622-1083,109900 руб.,1 год ,15.6 дюйм ,1920x1980 ,,,Intel Core i7 ,8 ,11800H ,2.3 ГГц ,4.6 ГГц ,24 Mb ,Дискретная ,NVIDIA RTX A1000 ,DDR4 ,16 Gb ,SSD ,1000 ГБ ,,,Есть ,Есть ,,,,,,Windows 11 Pro ,,,,Есть ,,Черный ,,3900 г ,MSI ,,,,,,,,,,,,,,,,,,,,,,,,,,4 Gb ,,,,,,,,,,,,,,,,
