name,price,screen_size,display_resolution,cpu,proccessor_cores,set_of_cpu,cpu_frequency,gpu,ram,memory,operating_system,weight,brand
HIPER DZEN MTL1569 7QEKD4OD,68400,15.6,1920x1080 FHD ,Intel Core i5 ,4.0,1135G7 ,2.4,NVIDIA GeForce MX450 ,16.0,SSD ,DOS / без ОС ,1700.0,HIPER 
Lenovo Yoga Slim 7 ProX 14ARH7 82TK004JRU,189890,14.5,3072x1920 ,Intel Core i7 ,14.0,12700H ,2.3,NVIDIA GeForce RTX 3050 ,32.0,SSD ,Windows 11 Home ,1450.0,Lenovo 
Lenovo IdeaPad 3 15ABA7 82RN007QRM,65737,15.6,1920x1080 FHD ,AMD Ryzen 7 ,8.0,5825U ,2.0,AMD Radeon Vega 8 ,16.0,SSD ,DOS / без ОС ,1.65,Lenovo 
"Lenovo ThinkBook 14 G4 IAP 14"" 21DH00GDRU",74480,15.6,1920x1080 FHD ,Intel Core i5 ,4.0,1135G7 ,2.4,Intel Iris Xe Graphics ,8.0,SSD ,DOS / без ОС ,1705.2024914285716,Lenovo 
Lenovo ThinkPad X1 Yoga  G6 T 20XY0022US,122922,14.0,1920х1200 ,Intel Core i5 ,4.0,1135G7 ,2.4,Intel Iris Xe Graphics ,8.0,SSD ,Windows 10 Pro Eng Language ,1400.0,Lenovo 
HP 250 G9 6S6V4EA,54860,15.6,1920x1020 ,Intel Core i7 ,10.0,1255U ,2.4,Intel Iris Plus Graphics ,8.0,SSD ,DOS / без ОС ,1740.0,HP 
ASUS R465KA-EB064W 90NB0VH2-M001F0,29294,14.0,1920x1080 FHD ,Intel Pentium Silver ,4.0,N6000 ,1.1,Intel UHD Graphics ,4.0,SSD ,Windows 11 Home ,1500.0,ASUS 
Lenovo  Lenovo IdeaPad 5 Pro 16IAH7 82SK0033RU,152601,16.0,2560х1600 ,Intel Core i7 ,6.0,12700H ,2.3,Intel Arc A370M ,16.0,SSD ,Windows 11 Home ,1900.0,Lenovo 
ASUS ROG G513RW-HQ177 90NR0895-M00H40,198906,15.6,2560x1440 2k WQHD ,AMD Ryzen 9 ,8.0,6900HX ,3.3,NVIDIA GeForce RTX 3070 Ti ,32.0,SSD ,DOS / без ОС ,2300.0,ASUS 
HIPER EXPERTBOOK MTL1601 MTL1601A1135DS,58500,16.1,1920x1080 FHD ,Intel Core i5 ,4.0,1135G7 ,2.4,Intel Iris Xe Graphics ,8.0,SSD ,DOS / без ОС ,1705.2024914285716,HIPER 
Dell Vostro 3400 N6006VN3400EMEA01U,45762,14.0,1920x1080 FHD ,Intel Core i3 ,2.0,1115G4 ,3.0,Intel UHD Graphics ,8.0,SSD ,Linux ,1705.2024914285716,Dell 
HP EliteBook 830 G9 6T121EA,149701,13.3,1920х1200 ,Intel Core i5 ,10.0,1235U ,3.3,Intel Iris Xe Graphics ,8.0,SSD ,Windows 11 Pro ,1270.0,HP 
ASUS VivoBook R465EA-EB734W 90NB0TT1-M15920,26790,14.0,1920x1980 ,Intel Pentium Gold ,2.0,7505 ,2.0,Intel UHD Graphics ,4.0,SSD ,Windows 11 Home ,1500.0,ASUS 
Lenovo IdeaPad 3 15ITL6 82H8024SRK,86466,15.6,1920x1080 FHD ,Intel Core i7 ,4.0,1165G7 ,2.8,NVIDIA GeForce MX350 ,12.0,HDD+SSD (отдельный) ,DOS / без ОС ,1650.0,Lenovo 
Lenovo ThinkPad X1 Carbon 10 21CB006PRT,248927,14.0,1920х1200 ,Intel Core i5 ,12.0,1240P ,1.7,Intel Iris Xe Graphics ,16.0,SSD ,Windows 11 Pro ,1120.0,Lenovo 
ASUS ROG GA402RJ-L4045 90NR09T2-M002A0,172998,14.0,1920х1200 ,AMD Ryzen 7 ,8.0,6800HS ,3.2,AMD Radeon RX 6700XT ,16.0,SSD ,no OS (без операционной системы) ,1650.0,ASUS 
Lenovo IdeaPad 5 14IAL7 82SD00A8RK,46890,14.0,1920x1080 FHD ,Intel Core i3 ,6.0,1215U ,1.2,Intel UHD Graphics ,8.0,SSD ,no OS (без операционной системы) ,1440.0,Lenovo 
Lenovo IdeaPad 3 15IIL05 81WE007GRK,43660,15.6,1920x1080 FHD ,Intel Core i5 ,4.0,1035G1 ,1.0,Intel UHD Graphics ,4.0,SSD ,DOS / без ОС ,1850.0,Lenovo 
