name,price,screen_size,display_resolution,cpu,proccessor_cores,set_of_cpu,cpu_frequency,gpu,ram,memory,operating_system,weight,brand
Dell Latitude 12 5290-1443,44000,12.5,1366x768 HD ,Intel Core i3 ,2.0,7130U ,2.7,Intel HD Graphics 620 ,4.0,HDD ,Linux ,1360.0,Dell 
Lenovo ThinkPad X1 Carbon Gen 10 21CCS9Q601/M,258890,14.0,2240x1400 ,Intel Core i7 ,10.0,1265U ,1.8,Intel Iris Xe Graphics ,32.0,SSD ,Windows 11 Pro ,1120.0,Lenovo 
Dell Latitude 3520 THY6R,94904,15.6,1920x1080 FHD ,Intel Core i5 ,2.0,1135G7 ,2.4,Intel Iris Xe Graphics ,8.0,SSD ,Windows 10 Pro 64-bit ,1790.0,Dell 
ASUS ExpertBook L2 L2502CYA-EJ0023 90NX0501-M000Z0,68200,15.6,1920x1080 FHD ,AMD Ryzen 5 ,6.0,5625U ,2.3,AMD Radeon Graphics ,8.0,SSD ,DOS / без ОС ,1700.0,ASUS 
HP ProBook 455 G9 6S6K2EA,112941,15.6,1920x1080 FHD ,AMD Ryzen 5 ,6.0,5625U ,2.3,AMD Radeon Graphics ,8.0,SSD ,Windows 11 Pro ,1740.0,HP 
HP ProBook 450 G8 32M59EA,78050,15.6,1920x1080 FHD ,Intel Core i5 ,4.0,1135G7 ,2.4,Intel Iris Xe Graphics ,8.0,SSD ,DOS / без ОС ,1800.0,HP 
Acer TravelMate P2 TMP215-52-529S NX.VLLER.00G,73170,15.6,1920x1080 FHD ,Intel Core i5 ,4.0,10210U ,1.6,Intel UHD Graphics ,8.0,SSD ,no OS (без операционной системы) ,1800.0,Acer 
HP Probook 450 G9 674N0AV#88221106,87715,15.6,1920x1080 FHD ,Intel Core i5 ,10.0,1235U ,3.3,Intel Iris Xe Graphics ,8.0,SSD ,Windows 11 Pro ,1740.0,HP 
"Machenike Machcreator-A 15.6"" MC-Y15i51135G7F60LSM00BLRU",62800,15.6,1920x1080 FHD ,Intel Core i5 ,4.0,1135G7 ,2.4,Intel Iris Xe Graphics ,16.0,SSD ,DOS / без ОС ,1600.0,Machenike 
Ультрабук Acer Swift 3 SF314-512-36YL NX.K0EER.005,52000,14.0,1920x1080 FHD ,Intel Core i3 ,10.0,1220P ,1.1,Intel Iris Xe Graphics ,8.0,SSD ,DOS / без ОС ,1250.0,Acer 
Lenovo IdeaPad 5 15IAL7 82SF001XRU,92508,15.6,1920x1080 FHD ,Intel Core i5 ,10.0,1235U ,1.3,Intel Iris Xe Graphics ,8.0,SSD ,Windows 11 Home ,1850.0,Lenovo 
Lenovo IdeaPad 5 Pro 16ARH7 82SN004XRK,120716,16.0,2560х1600 ,AMD Ryzen 7 ,8.0,6800HS ,3.2,NVIDIA GeForce RTX 3050 ,16.0,SSD ,no OS (без операционной системы) ,1900.0,Lenovo 
Acer Acer Swift 3 NX.K0UER.004,71600,14.0,1920x1080 FHD ,AMD Ryzen 5 ,6.0,5625U ,2.3,AMD Radeon Graphics ,16.0,SSD ,Windows 11 Home ,1705.2024914285716,Acer 
Irbis NB281,17700,14.0,1366x768 HD ,Intel Celeron Dual Core ,2.0,N3350 ,1.1,Intel HD Graphics 500 ,4.0,eMMC ,Windows 10 ,1273.0,Irbis 
"HP 450 G8 2X7X4EA(16RAM,WIN10PRO)",94347,15.6,1920x1080 FHD ,Intel Core i5 ,4.0,1135G7 ,2.4,Intel Iris Xe Graphics ,16.0,SSD ,Windows 10 Pro 64-bit ,1705.2024914285716,HP 
HP 250 G8 2W8W8EA,71680,15.6,1920x1080 FHD ,Intel Core i3 ,2.0,1005G1 ,1.2,Intel UHD Graphics ,8.0,SSD ,Windows 10 Home 64-bit ,1740.0,HP 
ASUS ExpertBook B3 Flip B3402FEA-EC1035W 90NX0491-M00XP0,76877,14.0,1920x1080 FHD ,Intel Core i3 ,2.0,1115G4 ,3.0,Intel UHD Graphics ,8.0,SSD ,Windows 11 Home ,1800.0,ASUS 
Lenovo IdeaPad 3 15IGL05 81WQ0005RE,24990,15.6,1920x1080 FHD ,Intel Celeron ,2.0,N4020 ,1.1,Intel UHD Graphics 600 ,4.0,SSD ,no OS (без операционной системы) ,1700.0,Lenovo 
ASUS M513UA-L1427W 90NB0TP2-M002Y0,85860,15.6,1920x1080 FHD ,AMD Ryzen 7 ,4.0,5700U ,1.8,Intel Iris Xe Graphics ,16.0,SSD ,DOS / без ОС ,1800.0,ASUS 
Acer Acer Aspire 3 NX.K6SER.00M,77000,15.6,1920x1080 FHD ,Intel Core i7 ,10.0,1255U ,2.4,Intel Iris Xe Graphics ,16.0,SSD ,Windows 11 Home ,1705.2024914285716,Acer 
ASUS VivoBook 16X M1603QA-MB252 90NB0Y82-M00FM0,60557,16.0,1920х1200 ,AMD Ryzen 5 ,6.0,5600H ,3.3,AMD Radeon RX Vega 7 ,16.0,SSD ,DOS / без ОС ,1900.0,ASUS 
Apple 16-inch MacBook Pro MK183LL/A,299000,16.2,3456х2234 ,Apple M1 Pro ,10.0,1135G7 ,2.4,Intel Iris Xe Graphics ,16.0,SSD ,MAC OS ,2150.0,Apple 
Acer Extensa 15 EX215-22-R2H8 NX.EG9ER.00G,35500,15.6,1920x1080 FHD ,AMD Ryzen 3 ,2.0,3250U ,2.6,AMD Radeon R3 ,4.0,SSD ,no OS (без операционной системы) ,1900.0,Acer 
HIPER G16 G16RTX3070B11700LX,147100,16.1,1920x1080 FHD ,Intel Core i7 ,8.0,11700K ,2.5,NVIDIA GeForce RTX 3070 ,16.0,SSD ,Linux ,2700.0,HIPER 
ASUS VivoBook X1503ZA-L1303 90NB0WY1-M00NX0,69000,15.6,1920x1080 FHD ,Intel Core i5 ,12.0,12500H ,2.5,Intel Iris Xe Graphics ,8.0,SSD ,no OS (без операционной системы) ,1700.0,ASUS 
Lenovo ThinkBook 15 G3 ACL 21A40029MH,69628,15.6,1920x1080 FHD ,AMD Ryzen 3 ,4.0,5300U ,2.6,AMD Radeon Graphics ,8.0,SSD ,Windows 10 Pro Eng Language ,1700.0,Lenovo 
AData XPG Xenia 14 XENIA14I5G11GXELX-BKCRU,82000,14.0,1920x1080 FHD ,Intel Core i5 ,4.0,1135G7 ,2.4,Intel Iris Xe Graphics ,16.0,SSD ,Windows 10 Home 64-bit ,970.0,AData XPG 
Acer Aspire 5 A515-45-R58W NX.A84EP.00E,71006,15.6,1920x1080 FHD ,AMD Ryzen 5 ,6.0,5500U ,2.1,AMD Radeon Vega Graphics ,8.0,SSD ,Windows 11 Home ,1800.0,Acer 
ASUS VivoBook 15 A516EA-BQ1446W 90NB0TY1-M24970,37227,15.6,1920x1080 FHD ,Intel Pentium Gold ,2.0,7505U ,2.0,Intel UHD Graphics ,8.0,SSD ,Windows 11 Home ,1800.0,ASUS 
"Lenovo  Lenovo Legion 5 Pro 16IAH7H 16"" 82RF0037RU",177900,16.0,2560х1600 ,Intel Core i7 ,14.0,12700H ,2.3,NVIDIA GeForce RTX 3060 ,16.0,SSD ,Windows 11 Home ,2490.0,Lenovo 
Huawei MateBook B5-430(KLVDZ-WFH9) 53013FCW,108500,14.0,2160x1440 ,Intel Core i5 ,4.0,1135G7 ,2.4,Intel Iris Xe Graphics ,16.0,SSD ,Windows 10 Pro 64-bit ,1490.0,Huawei 
Lenovo Lenovo IdeaPad 3 Gen 7 82RN00AHRK,60596,15.6,1920x1080 FHD ,AMD Ryzen 5 ,6.0,5625U ,2.3,AMD Radeon Graphics ,8.0,SSD ,DOS / без ОС ,1705.2024914285716,Lenovo 
Lenovo ThinkBook 14 G2 20VD0033US,72990,15.6,1920x1080 FHD ,Intel Core i5 ,4.0,1135G7 ,2.4,Intel Iris Xe Graphics ,8.0,SSD ,Windows 10 Pro 64-bit ,1400.0,Lenovo 
ASUS Zenbook Duo 14 UX482EGR-HY431W 90NB0S51-M003Z0,172735,14.0,1920x1080 FHD ,Intel Core i7 ,4.0,1195G7 ,2.9,NVIDIA GeForce MX450 ,16.0,SSD ,Windows 11 Home ,1600.0,ASUS 
HP HP EliteBook x360 1040 G9 4C051AV,184146,14.0,1920х1200 ,Intel Core i5 ,10.0,1235U ,1.3,Intel Iris Xe Graphics ,8.0,SSD ,DOS / без ОС ,1320.0,HP 
ASUS X515EA-BQ322 90NB0TY2-M02VJ0,47948,15.6,1920x1080 FHD ,Intel Core i3 ,2.0,1115G4 ,3.0,Intel UHD Graphics ,8.0,SSD ,DOS / без ОС ,1800.0,ASUS 
HIPER EXPERTBOOK MTL1577 C53QHH0A,63500,15.6,1920x1080 FHD ,AMD Ryzen 7 ,8.0,5800U ,1.9,AMD Radeon Graphics ,8.0,SSD ,Windows 10 Home 64-bit ,1700.0,HIPER 
ASUS TUF A15 FA506IHR-HN019 90NR07G7-M003B0,81234,15.6,1920x1080 FHD ,AMD Ryzen 5 ,6.0,4600H ,3.0,NVIDIA GeForce GTX 1650 ,8.0,SSD ,DOS / без ОС ,2300.0,ASUS 
Acer Aspire 5 A515-57G-56NV NX.K9LER.003,77400,15.6,2560x1440 2k WQHD ,Intel Core i5 ,10.0,1235U ,1.3,NVIDIA GeForce MX550 ,8.0,SSD ,Windows 10 Home 64-bit ,1800.0,Acer 
HIPER EXPERTBOOK MTL1601 MTL1601C1235UDS,68800,16.1,1920x1080 FHD ,Intel Core i5 ,10.0,1235U ,2.4,Intel UHD Graphics ,8.0,SSD ,DOS / без ОС ,1705.2024914285716,HIPER 
HP Spectre x360 715M6EA,169410,13.5,1920x1080 FHD ,Intel Core i7 ,4.0,1260P ,2.4,Intel Iris Xe Graphics ,16.0,SSD ,Windows 11 Pro ,1705.2024914285716,HP 
MSI Katana GF66 12UGS-483 (QWERTZ) 9S7-158332-483,128000,15.6,1920x1080 FHD ,Intel Core i7 ,14.0,12700H ,2.3,NVIDIA GeForce RTX 3070 Ti ,16.0,SSD ,DOS / без ОС ,2.25,MSI 
MSI GF63 Thin 11UD-220RU 9S7-16R612-220,79000,15.6,1920x1080 FHD ,Intel Core i7 ,8.0,11800H ,2.3,NVIDIA GeForce RTX 3050 Ti ,8.0,SSD ,Windows 10 Home 64-bit ,1860.0,MSI 
Ультрабук Acer Swift 3 SF314-43-R3KD NX.AB1ER.00D,63000,14.0,1920x1080 FHD ,AMD Ryzen 5 ,6.0,5500U ,2.1,AMD Radeon Graphics ,8.0,SSD ,Windows 11 Home ,1250.0,Acer 
Lenovo ThinkPad X1 Carbon G10 21CCS9Q501,211501,14.0,1920х1200 ,Intel Core i5 ,10.0,1235U ,1.3,Intel Iris Xe Graphics ,16.0,SSD ,Windows 11 Pro ,1120.0,Lenovo 
HP EliteBook 840 G9 5P6R6EA,128741,14.0,1920x1080 FHD ,Intel Core i5 ,10.0,1235U ,2.4,Intel Iris Xe Graphics ,8.0,SSD ,Windows 11 Pro ,1400.0,HP 
Lenovo IdeaPad Gaming 3 15IAH7 82S900KVRK,116186,15.6,1920x1080 FHD ,Intel Core i7 ,10.0,12650H ,2.3,NVIDIA GeForce RTX 3050 Ti ,16.0,SSD ,DOS / без ОС ,2231.0,Lenovo 
Lenovo Lenovo ThinkPad  X12 20UW0062RT,218890,12.3,1920x1080 FHD ,Intel Core i7 ,2.0,1160G7 ,2.1,Intel Iris Xe Graphics ,16.0,SSD ,Windows 11 Pro ,1705.2024914285716,Lenovo 
Machenike MACHCREATOR-E MC-Ei511300HF60HSM00R2,50990,15.6,1920x1080 FHD ,Intel Core i5 ,4.0,11300H ,3.1,Intel Iris Xe Graphics ,16.0,SSD ,no OS (без операционной системы) ,2180.0,Machenike 
Lenovo ThinkPad T14 21CF0027RT,174419,14.0,1920х1200 ,AMD Ryzen 5 PRO ,6.0,6650U ,2.9,Intel Iris Xe Graphics ,8.0,SSD ,Windows 10 Pro 64-bit ,1210.0,Lenovo 
Lenovo V15 G2 ALC 82KD003XDT,63003,15.6,1920x1080 FHD ,AMD Ryzen 5 ,6.0,5500U ,3.2,AMD Radeon Graphics ,8.0,SSD ,Windows 10 Home 64-bit ,1700.0,Lenovo 
"Machenike Machcreator-16 16"" MC-16i712700HQ120HGM00RU",91000,16.0,2560x1440 2k WQHD ,Intel Core i7 ,14.0,12700H ,3.5,Intel Iris Xe Graphics ,16.0,SSD ,DOS / без ОС ,1700.0,Machenike 
Dell Latitude 5430 L-5430-i7-16-512-W,123882,14.0,1920x1080 FHD ,Intel Core i7 ,10.0,1255U ,1.7,Intel Iris Xe Graphics ,16.0,SSD ,Windows 11 Pro ,1360.0,Dell 
HIPER WORKBOOK A1568K A1568K1135W1,43700,15.6,1920x1080 FHD ,Intel Core i5 ,4.0,1135G7 ,2.4,Intel Iris Xe Graphics ,8.0,SSD ,Windows 10 Pro 64-bit ,1705.2024914285716,HIPER 
MSI GS66 12UHS-276(QWERTZ) 9S7-16V512-276,260000,15.6,3840x2160 4k UHD ,Intel Core i9 ,14.0,12900H ,2.5,NVIDIA GeForce RTX 3080 Ti ,64.0,SSD ,Windows 11 Pro ,2.1,MSI 
Acer TravelMate P2 TMP215-52-30CQ NX.VLLER.00R,52500,15.6,1920x1080 FHD ,Intel Core i3 ,2.0,10110U ,2.1,Intel UHD Graphics ,8.0,SSD ,no OS (без операционной системы) ,1800.0,Acer 
HP ProBook 450 G8 32M60EA,78050,15.6,1920x1080 FHD ,Intel Core i7 ,4.0,1165G7 ,2.8,Intel Iris Xe Graphics ,8.0,SSD ,DOS / без ОС ,1800.0,HP 
Acer Aspire 5 A515-45-R06L NX.A84ER.00Y,50600,15.6,1920x1080 FHD ,Intel Core i5 ,4.0,5500U ,2.1,AMD Radeon Graphics ,8.0,SSD ,DOS / без ОС ,1800.0,Acer 
Lenovo IdeaPad 3 15IAU7 82RK0095RM,70990,15.6,1920x1080 FHD ,Intel Core i7 ,4.0,1255U ,1.7,Intel Iris Xe Graphics ,16.0,SSD ,DOS / без ОС ,1630.0,Lenovo 
Apple MacBook Air A2337 Z12400071 (MGN63),99000,13.3,2560х1600 ,Apple M1 ,8.0,1135G7 ,3.2,Intel Iris Xe Graphics ,8.0,SSD ,MAC OS ,1290.0,Apple 
Acer Aspire 3 A315-59-51GC Slim NX.K6SER.00E,54000,15.6,1920x1080 FHD ,Intel Core i5 ,10.0,1235U ,1.3,Intel UHD Graphics ,8.0,SSD ,DOS / без ОС ,1770.0,Acer 
ASUS B1500CEAE-EJ2554X 90NX0441-M00BZ0,71956,15.6,1920x1080 FHD ,Intel Core i3 ,2.0,1115G4 ,3.0,Intel UHD Graphics ,8.0,SSD ,Windows 11 Pro ,1730.0,ASUS 
ASUS VivoBook 16X M1603QA-MB224 90NB0Y81-M00DD0,51100,16.0,1920х1200 ,AMD Ryzen 5 ,6.0,5600H ,3.3,AMD Radeon Graphics ,16.0,SSD ,no OS (без операционной системы) ,1880.0,ASUS 
Lenovo IdeaPad 5 14IAL7 82SD00AARK,49190,14.0,1920x1080 FHD ,Intel Core i5 ,10.0,1235U ,1.3,Intel Iris Xe Graphics ,8.0,SSD ,no OS (без операционной системы) ,1440.0,Lenovo 
Lenovo Thinkbook 14 G2 ITL 20VD0093RU,91890,14.0,1920x1080 FHD ,Intel Core i7 ,4.0,1165G7 ,2.8,Intel Iris Xe Graphics ,16.0,SSD ,no OS (без операционной системы) ,1400.0,Lenovo 
ASUS VivoBook F415EA-EB1272 90NB0TT2-M00BN0,33741,14.0,1920x1080 FHD ,Intel Pentium ,2.0,7505 ,2.0,Intel UHD Graphics ,8.0,SSD ,no OS (без операционной системы) ,1400.0,ASUS 
Aquarius Cmp NS685U R11 QRCN-NS685U1M1618H151L15NB6MLNNN2,135000,15.6,1920x1080 FHD ,Intel Core i5 ,4.0,10210U ,1.6,Intel UHD Graphics ,8.0,SSD ,no OS (без операционной системы) ,1800.0,Aquarius 
Lenovo LENOVO Legion 5 15IAH7H 82RB00LFRM,142990,15.6,1920x1080 FHD ,Intel Core i5 ,8.0,12500H ,2.5,NVIDIA GeForce RTX 3060 ,16.0,SSD ,DOS / без ОС ,2400.0,Lenovo 
Apple 16-inch MacBook Pro MK183ZE/A,235000,16.2,3456х2234 ,Apple M1 Pro ,10.0,1135G7 ,2.4,Intel Iris Xe Graphics ,16.0,SSD ,MAC OS ,2150.0,Apple 
Lenovo ThinkPad T14 G3 21AH00BPUS,120890,14.0,1920х1200 ,Intel Core i5 ,10.0,1235U ,1.3,Intel Iris Xe Graphics ,16.0,SSD ,Windows 10 Pro ENG 64-bit ,1320.0,Lenovo 
ASUS TUF Gaming F15 FX506HC-HN004 90NR0724-M00LS0,79000,15.6,1920x1080 FHD ,Intel Core i5 ,6.0,11400H ,2.7,NVIDIA GeForce RTX 3050 ,16.0,SSD ,no OS (без операционной системы) ,2300.0,ASUS 
Acer Acer Swift 3 SF314-43-R16J NX.AB1ER.00E,63100,14.0,1920x1080 FHD ,AMD Ryzen 5 ,6.0,5500U ,2.1,AMD Radeon Graphics ,16.0,SSD ,Windows 11 Home ,1705.2024914285716,Acer 
Huawei MateBook B3-420(NDZ-WDH9A) 53013JHV,65200,14.0,1920x1080 FHD ,Intel Core i5 ,4.0,1135G7 ,2.4,Intel Iris Xe Graphics ,8.0,SSD ,no OS (без операционной системы) ,1380.0,Huawei 
Lenovo Thinkpad X1 Carbon Gen10 21CCSBEV01,278890,14.0,1920х1200 ,Intel Core i7 ,4.0,1265U vPro ,2.4,Intel Iris Xe Graphics ,32.0,SSD ,Windows 11 Pro ,1120.0,Lenovo 
ASUS VivoBook 15 M6500QC-HN087 90NB0YN1-M007E0,100455,15.6,1920x1080 FHD ,AMD Ryzen 7 ,8.0,5800H ,3.2,NVIDIA GeForce RTX 3050 ,16.0,SSD ,DOS / без ОС ,1900.0,ASUS 
MSI GF63 Thin 11SC-623XRU (MS-16R6) 9S7-16R612-623,59000,15.6,1920x1080 FHD ,Intel Core i5 ,6.0,11400H ,2.7,NVIDIA GeForce GTX 1650 Max-Q ,8.0,SSD ,no OS (без операционной системы) ,1860.0,MSI 
Lenovo ThinkPad X13 G1 20T3A07SCD,95693,13.3,1920x1080 FHD ,Intel Core i5 ,4.0,10210U ,2.1,Intel UHD Graphics ,8.0,SSD ,DOS / без ОС ,1330.0,Lenovo 
Dell Latitude 3420 CC-DEL1134D523,74017,14.0,1920x1080 FHD ,Intel Core i5 ,4.0,1135G7 ,2.4,Intel UHD Graphics ,8.0,SSD ,Linux ,1520.0,Dell 
HP 250 G8 59S27EA,59620,15.6,1366x768 HD ,Intel Core i7 ,4.0,1165G7 ,2.4,Intel UHD Graphics ,8.0,SSD ,DOS / без ОС ,1700.0,HP 
"Lenovo ThinkBook 14 G4 IAP 14"" 21DH00GFRU",88490,15.6,1920x1080 FHD ,Intel Core i5 ,4.0,1135G7 ,2.4,Intel Iris Xe Graphics ,8.0,SSD ,DOS / без ОС ,1705.2024914285716,Lenovo 
Lenovo IdeaPad 3 15ITL6 82H801B6RK,79934,15.6,1920x1080 FHD ,Intel Core i5 ,4.0,1135G7 ,2.4,NVIDIA GeForce MX350 ,12.0,HDD+SSD (отдельный) ,no OS (без операционной системы) ,1650.0,Lenovo 
Lenovo IdeaPad Gaming 3 15IAH7 82S90046RU,107625,15.6,1920x1080 FHD ,Intel Core i5 ,12.0,12500H ,2.5,NVIDIA GeForce RTX 3050 ,16.0,SSD ,Windows 11 Home ,2310.0,Lenovo 
Lenovo ThinkPad X13 G3 21BN0011US,145762,13.3,1920x1080 FHD ,Intel Core i7 ,14.0,1280P ,1.8,Intel Iris Xe Graphics ,32.0,SSD ,Windows 11 Pro ,1250.0,Lenovo 
Acer Swift 3 SF314-43-R16V NX.AB1ER.018,56400,14.0,1920x1080 FHD ,AMD Ryzen 5 ,6.0,5500U ,2.1,AMD Radeon Graphics ,8.0,SSD ,no OS (без операционной системы) ,1200.0,Acer 
Acer Aspire 5 A514-55-75X0 NX.K5DER.004,74000,14.0,1920x1080 FHD ,Intel Core i7 ,10.0,1255U ,1.7,Intel UHD Graphics ,16.0,SSD ,DOS / без ОС ,1480.0,Acer 
HP 450 G8 2W1G9EA(32RAM.1TBSSD),129900,15.6,1920x1080 FHD ,Intel Core i5 ,4.0,1135G7 ,4.2,Intel UHD Graphics ,32.0,SSD ,Windows 10 Pro 64-bit ,1705.2024914285716,HP 
ASUS A516JF-BR329 90NB0SW1-M05880,35000,15.6,1366x768 HD ,Intel Pentium ,2.0,6805 ,1.1,Intel UHD Graphics ,8.0,SSD ,no OS (без операционной системы) ,1800.0,ASUS 
HP 250 G8 45R39EA,47500,15.6,1920x1080 FHD ,Intel Core i5 ,4.0,1135G7 ,2.4,Intel Iris Xe Graphics ,8.0,SSD ,DOS / без ОС ,1740.0,HP 
ASUS TUF FX506HCB-HN303W 90NR0724-M006V0,95280,15.6,1920x1080 FHD ,Intel Core i5 ,6.0,11400H ,2.7,NVIDIA GeForce RTX 3050 ,8.0,SSD ,Windows 11 Home ,2300.0,ASUS 
Dell Latitude 5520 5520-0518,126030,15.6,1920x1080 FHD ,Intel Core i5 ,4.0,1135G7 ,2.4,Intel Iris Xe Graphics ,8.0,SSD ,Windows 10 Pro 64-bit ,1705.2024914285716,Dell 
Dell Latitude 5431 P137G 5431-7657,132190,14.0,1920x1080 FHD ,Intel Core i7 ,12.0,1270P ,1.8,Intel Iris Xe Graphics ,16.0,SSD ,Linux ,1370.0,Dell 
Dream Machines G1650-17KZ85,90820,17.3,1920x1080 FHD ,Intel Core i7 ,14.0,12700H ,2.3,NVIDIA GeForce GTX 1650 ,16.0,SSD ,no OS (без операционной системы) ,2200.0,Dream Machines 
HP ZBook Power G8 313T2EA,399414,15.6,1920x1080 FHD ,Intel Core i9 ,8.0,11900H ,2.5,NVIDIA GeForce RTX A2000 ,32.0,SSD ,Windows 10 Pro 64-bit ,1705.2024914285716,HP 
Ультрабук Acer Swift 3 SF314-43-R1YW NX.AB1ER.01A,62200,14.0,1920x1080 FHD ,AMD Ryzen 7 ,8.0,5700U ,1.8,AMD Radeon Graphics ,16.0,SSD ,DOS / без ОС ,1200.0,Acer 
ASUS ExpertBook B1500CEAE-BQ1736R 90NX0441-M21000,71960,15.6,1920x1080 FHD ,Intel Core i3 ,4.0,1115G4 ,3.0,Intel UHD Graphics ,8.0,SSD ,Windows 10 Pro 64-bit ,1700.0,ASUS 
"CHUWI CoreBook X 14""(2560x1440 IPS) /Intel Core i3 10110U(2.1Ghz)/8192Mb/512SSDGb/noDVD/Int:Intel UHD Graphics/Cam/BT/WiFi/46WHr/war 1y/1.5kg/Grey/Win11Home + подсветка клавиатуры CWI529-308N5N1HDNXX",32766,15.6,1920x1080 FHD ,Intel Core i5 ,4.0,1135G7 ,2.4,Intel Iris Xe Graphics ,8.0,SSD ,DOS / без ОС ,1705.2024914285716,CHUWI 
ASUS ZenBook Series UM3402YA-KM139 90NB0W95-M008F0,99990,14.0,2880x1800 ,AMD Ryzen 7 ,4.0,5825U ,2.0,AMD Radeon Vega 8 ,16.0,SSD ,DOS / без ОС ,1390.0,ASUS 
Lenovo  Lenovo IdeaPad 5 Pro 16ARH7 82SN0045RK,98890,16.0,2560х1600 ,AMD Ryzen 7 ,8.0,6800HS ,3.2,AMD Radeon Graphics ,16.0,SSD ,no OS (без операционной системы) ,1900.0,Lenovo 
HP 255 G8 5Y3X4EA,32600,15.6,1920x1080 FHD ,AMD Ryzen 3 ,4.0,5425U ,2.7,AMD Radeon Graphics ,4.0,SSD ,DOS / без ОС ,1740.0,HP 
Lenovo IP3-15ITL6 82H800WJRM,39500,15.6,1920x1080 FHD ,Intel Core i3 ,2.0,1115G4 ,3.0,Intel UHD Graphics ,4.0,SSD ,Windows 11 Home ,1650.0,Lenovo 
ASUS E410MA-EK2281 90NB0Q11-M014P0,27205,14.0,1920x1080 FHD ,Intel Pentium Silver ,4.0,N5030 ,1.1,Intel UHD Graphics 605 ,4.0,SSD ,no OS (без операционной системы) ,1300.0,ASUS 
"Lenovo ThinkBook 14 G4+ IAP 14"" 21CX0010RU",107890,15.6,1920x1080 FHD ,Intel Core i5 ,4.0,1135G7 ,2.4,Intel Iris Xe Graphics ,8.0,SSD ,DOS / без ОС ,1705.2024914285716,Lenovo 
HP Probook 445 G8 59S06EA,75000,14.0,1920x1080 FHD ,AMD Ryzen 5 ,6.0,5 5600U ,2.3,AMD Radeon Graphics ,8.0,SSD ,Windows 11 Pro ,1380.0,HP 
MSI GF63 Thin 11UC-207XRU 9S7-16R612-207,69000,15.6,1920x1080 FHD ,Intel Core i5 ,6.0,11400H ,2.7,NVIDIA GeForce RTX 3050 ,16.0,SSD ,DOS / без ОС ,1860.0,MSI 
HP 245 G8 43W89EA,72750,14.0,1920x1080 FHD ,AMD Ryzen 3 ,4.0,5300U ,2.6,AMD Radeon HD Graphics ,8.0,SSD ,Windows 10 Pro 64-bit ,1470.0,HP 
ASUS ExpertBook B5 Flip B5402FEA-HY0204W 90NX04I1-M00790,105635,14.0,1920x1080 FHD ,Intel Core i5 ,4.0,1155G7 ,2.5,Intel Iris Xe Graphics ,8.0,SSD ,DOS / без ОС ,1380.0,ASUS 
Lenovo IdeaPad 3 14ITL6 82H700L2RE,29790,14.0,1920x1080 FHD ,Intel Celeron ,2.0,6305 ,1.8,Intel UHD Graphics ,4.0,SSD ,DOS / без ОС ,1410.0,Lenovo 
Dell Latitude 7320 P133G 7320-5653,93560,13.3,1920x1080 FHD ,Intel Core i5 ,4.0,1145G7 ,2.6,Intel Iris Xe Graphics ,16.0,SSD ,Linux ,1120.0,Dell 
Acer Aspire 5 A517-53-56VY NX.K62ER.008,78500,17.3,1920x1080 FHD ,Intel Core i5 ,10.0,1235U ,1.3,Intel Iris Xe Graphics ,16.0,SSD ,no OS (без операционной системы) ,2200.0,Acer 
Lenovo ThinkBook 15p IMH 20V30010RU,114110,15.6,1920x1080 FHD ,Intel Core i5 ,4.0,10300H ,2.5,NVIDIA GeForce GTX 1650 ,8.0,SSD ,DOS / без ОС ,1990.0,Lenovo 
ASUS VivoBook 15 R565EA-BQ2091W 90NB0TY1-M00WK0,35484,15.6,1920x1080 FHD ,Intel Pentium Gold ,2.0,7505U ,2.0,Intel UHD Graphics ,8.0,SSD ,Windows 11 Home ,1800.0,ASUS 
Lenovo IdeaPad 3 14IGL05 81WH0033RU,26490,14.0,1366x768 HD ,Intel Pentium Silver ,4.0,N5030 ,1.1,Intel UHD Graphics 605 ,4.0,SSD ,Windows 10 Home 64-bit ,1500.0,Lenovo 
"Irbis 17"" 17NBC2002",38000,17.0,1920х1200 ,Intel Core i3 ,2.0,1005G1 ,1.2,Intel UHD Graphics ,8.0,SSD ,Windows 11 Pro ,2100.0,Irbis 
Ультрабук Acer Swift 3 SF314-512-55N3 NX.K0EER.008,70500,14.0,1920x1080 FHD ,Intel Core i5 ,12.0,1240P ,1.2,Intel Iris Xe Graphics ,8.0,SSD ,DOS / без ОС ,1250.0,Acer 
Acer Nitro 5 AN515-46 (NH.QGXER.005),88000,15.6,1920x1080 FHD ,AMD Ryzen 5 ,6.0,6600H ,3.3,NVIDIA GeForce RTX 3050 Max-Q ,16.0,SSD ,DOS / без ОС ,2000.0,Acer 
Lenovo ThinkBook 13s-IAP 21AR001FRU,149554,13.0,1920х1200 ,Intel Core i7 ,12.0,1260P ,2.1,Intel Iris Xe Graphics ,16.0,SSD ,Windows 11 Pro ,1705.2024914285716,Lenovo 
ASUS ASUS K513EA-L12078 90NB0SG1-M00ES0,74640,15.6,1920x1080 FHD ,Intel Core i5 ,2.0,1135G7 ,2.4,Intel Iris Xe Graphics ,12.0,SSD ,DOS / без ОС ,1800.0,ASUS 
Lenovo ThinkPad L14 G3 21C6S31A00,131390,14.0,1920x1080 FHD ,AMD Ryzen 5 PRO ,6.0,5675U ,2.3,AMD Radeon RX Vega 7 ,16.0,SSD ,Windows 11 Pro ,1390.0,Lenovo 
